name;suspiciousness_value;ranking
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):476;0.02877389114291873;1
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):531;0.02877389114291873;1
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):535;0.02877389114291873;1
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):539;0.02877389114291873;1
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):540;0.02877389114291873;1
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):551;0.02666339563444937;2
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):554;0.02666339563444937;2
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):556;0.02666339563444937;2
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):559;0.02666339563444937;2
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):560;0.02666339563444937;2
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):564;0.02666339563444937;2
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):565;0.02666339563444937;2
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):568;0.02666339563444937;2
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):481;0.022038340680503893;3
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):484;0.022038340680503893;3
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):471;0.018923034508375666;4
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):474;0.018923034508375666;4
org.apache.commons.lang3.math$NumberUtils#isAllZeros(java.lang.String):613;0.01717986918400001;5
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):470;0.01679429792954796;6
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):478;0.01679429792954796;6
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):492;0.012649858237401689;7
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):545;0.007270488664705412;8
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):517;0.003853673314629474;9
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):524;0.003853673314629474;9
org.apache.commons.lang3.math$NumberUtils#createDouble(java.lang.String):643;0.0031116146587483375;10
org.apache.commons.lang3.math$NumberUtils#createDouble(java.lang.String):646;0.0031116146587483375;10
org.apache.commons.lang3.math$NumberUtils#createBigDecimal(java.lang.String):709;0.0031116146587483375;10
org.apache.commons.lang3.math$NumberUtils#createBigDecimal(java.lang.String):713;0.0031116146587483375;10
org.apache.commons.lang3.math$NumberUtils#createInteger(java.lang.String):660;0.002666633545561643;11
org.apache.commons.lang3.math$NumberUtils#createInteger(java.lang.String):664;0.002666633545561643;11
org.apache.commons.lang3.math$NumberUtils#createBigInteger(java.lang.String):693;0.002666633545561643;11
org.apache.commons.lang3.math$NumberUtils#createBigInteger(java.lang.String):696;0.002666633545561643;11
org.apache.commons.lang3.math$NumberUtils#createBigDecimal(java.lang.String):716;0.0026396960020065308;12
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):494;7.449794005985762E-4;13
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):486;5.65999409218118E-4;14
org.apache.commons.lang3.math$NumberUtils#createLong(java.lang.String):677;4.234997241589372E-4;15
org.apache.commons.lang3.math$NumberUtils#createLong(java.lang.String):680;4.234997241589372E-4;15
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):480;3.0388634225988814E-4;16
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):488;3.0388634225988814E-4;16
org.apache.commons.lang3.math$NumberUtils#createBigDecimal(java.lang.String):714;2.44140625E-4;17
org.apache.commons.lang3.math$NumberUtils#isAllZeros(java.lang.String):609;2.207662171826731E-4;18
org.apache.commons.lang3.math$NumberUtils#isAllZeros(java.lang.String):610;2.207662171826731E-4;18
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):491;2.0826762377716492E-4;19
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):497;2.0826762377716492E-4;19
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):498;2.0826762377716492E-4;19
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):499;2.0826762377716492E-4;19
org.apache.commons.lang3.math$NumberUtils#isAllZeros(java.lang.String):605;2.0826762377716492E-4;19
org.apache.commons.lang3.math$NumberUtils#isAllZeros(java.lang.String):608;2.0826762377716492E-4;19
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):445;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):448;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):451;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):458;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):461;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):465;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):466;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):468;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createNumber(java.lang.String):490;1.5528488479720474E-4;20
org.apache.commons.lang3.math$NumberUtils#createFloat(java.lang.String):627;1.220703125E-4;21
org.apache.commons.lang3.math$NumberUtils#createFloat(java.lang.String):630;1.220703125E-4;21
org.apache.commons.lang3$StringUtils#isBlank(java.lang.CharSequence):223;6.405850805998368E-6;22
